sites_domain,title,productDetailPageURL,UPC,units,offerPriceformattedPrice,adjustedPriceformatted,image,AmazonTitle,ASIN,ASIN_auto,parentasin,AmazonURL,AmazonImg,AmazonCategory,brand,AmazonUPC,BuyBox,BuyBoxPrice,price_avg_30,price_avg_90,FBAcalculated,FBAadjusted,GrossProfit,GrossROI,InStock,Weight,WeightUnits,ProductSize,SalesRank,average_rank30,average_rank90,EstimatedMonthlySales,TotalNew,reviews,rating,Keepa,CCC,ASC
thetoyshop.com,"Funko Pop! Star Wars - EP8 Porg",http://www.thetoyshop.com/action-toys-figures/action-figures/Funko-Pop%21-Star-Wars---EP8-Porg/p/535956,,1,£10.00,,http://www.thetoyshop.com/medias?context=bWFzdGVyfGltYWdlc3w3MjQyfGltYWdlL2pwZWd8aW1hZ2VzL2hhNS9oZmQvOTExOTQ0MjUwMTY2Mi5qcGd8YjdhMzY5NDMxMTYyOTc4ZjhjNTA0YzVkZWNlMjRhODMwMjBkYzM1YWU3ZmY4MjFlNzUxMDJkNmUwYjI0MDNkMA,"Funko Pop! Star Wars Porg Vinyl Bobble-Head Figure Chase Variant Toy #198",B075X1LC5J,B075X1LC5J,,https://www.amazon.co.uk/dp/B075X1LC5J/,http://ecx.images-amazon.com/images/I/51n%2B9kKgeoL.jpg,"Toys & Games",Funko,655036992128,FBA,£24.99,£26.63,£22.97,£17.98,£16.43,£6.43,"64 %",1,35,hundredths-pounds,"Large Standard-Size",41597,345877,298174,0,2,0,0,https://keepa.com/#!product/2-B075X1LC5J,http://uk.camelcamelcamel.com/product/B075X1LC5J,https://sellercentral.amazon.co.uk/productsearch?q=B075X1LC5J
smythstoys.com,"1:15 Subaru Impreza - Radio Control Cars UK",https://www.smythstoys.com/uk/en-gb/toys/construction-and-cars/radio-control-cars/1-15-subaru-impreza/p/131442,,1,£8.00,,https://image.smythstoys.com/original/desktop/131442.jpg,"1:15 Subaru Impreza",B00GASMPOU,B00GASMPOU,,https://www.amazon.co.uk/dp/B00GASMPOU/,http://ecx.images-amazon.com/images/I/41T-mrQ8-wL.jpg,"Toys & Games","Radio Control",,FBA,£24.49,£24.49,£24.19,£17.48,£15,£7.00,"88 %",1,128,hundredths-pounds,"Large Standard-Size",60177,1039838,1015140,0,2,0,0,https://keepa.com/#!product/2-B00GASMPOU,http://uk.camelcamelcamel.com/product/B00GASMPOU,https://sellercentral.amazon.co.uk/productsearch?q=B00GASMPOU
argos.co.uk,"Charcoal Oil Drum BBQ with Warming Rack",http://www.argos.co.uk/product/2870520,,1,£39.99,,//media.4rgos.it/s/Argos/2870520_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70,"Oil Drum Charcoal BBQ",B002D34JV8,B002D34JV8,,https://www.amazon.co.uk/dp/B002D34JV8/,http://ecx.images-amazon.com/images/I/61h8W2aeYwL.jpg,"Home & Garden",Oil,,MF,£74.68,£76.68,£84.48,£59.03,£57.83,£17.84,"45 %",1,0,hundredths-pounds,,48622,325650,328032,0,1,1,5,https://keepa.com/#!product/2-B002D34JV8,http://uk.camelcamelcamel.com/product/B002D34JV8,https://sellercentral.amazon.co.uk/productsearch?q=B002D34JV8
argos.co.uk,"Charcoal Oil Drum BBQ - Cover, Utensils & Adjustable Grill",http://www.argos.co.uk/product/5981887,,1,£49.99,,//media.4rgos.it/s/Argos/5981887_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70&$W_TMB_220_BADGE$&bottomleft=VALUE_wow,"Charcoal Oil Drum BBQ - Cover, Utensils & Adjustable Grill",B0737FYHT8,B0737FYHT8,,https://www.amazon.co.uk/dp/B0737FYHT8/,http://ecx.images-amazon.com/images/I/31GRLLycM7L.jpg,"Home & Garden",Paylesswithss,,FBA,£89.99,£84.42,£85.42,£71.58,£70.38,£20.39,"41 %",1,0,hundredths-pounds,,119452,97237,136590,3,5,0,0,https://keepa.com/#!product/2-B0737FYHT8,http://uk.camelcamelcamel.com/product/B0737FYHT8,https://sellercentral.amazon.co.uk/productsearch?q=B0737FYHT8
argos.co.uk,"Charcoal Oil Drum BBQ - Cover, Utensils & Adjustable Grill",http://www.argos.co.uk/product/5981887,,1,£49.99,,//media.4rgos.it/s/Argos/5981887_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70&$W_TMB_220_BADGE$&bottomleft=VALUE_wow,"Charcoal Oil Drum BBQ - Cover, Utensils & Adjustable Grill",B079KQRBC1,B079KQRBC1,,https://www.amazon.co.uk/dp/B079KQRBC1/,http://ecx.images-amazon.com/images/I/41oY29N0JxL.jpg,"Home & Garden",Paylesswithss,,FBA,£79.98,£79.98,£78.26,£63.37,£62.17,£12.18,"24 %",1,0,hundredths-pounds,,31394,90172,166699,4,2,1,4,https://keepa.com/#!product/2-B079KQRBC1,http://uk.camelcamelcamel.com/product/B079KQRBC1,https://sellercentral.amazon.co.uk/productsearch?q=B079KQRBC1
argos.co.uk,"4 Burner Propane Gas BBQ with Side Burner",http://www.argos.co.uk/product/3451663,,1,£124.99,,//media.4rgos.it/s/Argos/3451663_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70,"Generic DYHP-A10-CODE-6287-CLASS-1-- with Side Burner Black Cooking Grill h Sid 4 Burner or Cook Propane Gas BBQ Gas Steel Outdoor er Prop --NV_1001006287-",B074P5Y329,B074P5Y329,,https://www.amazon.co.uk/dp/B074P5Y329/,http://ecx.images-amazon.com/images/I/41kkRVYmjBL.jpg,Categories,Generic,,MF,£212.95,£188.11,£194.25,£172.41,£171.21,£46.22,"37 %",1,0,hundredths-pounds,,0,0,0,0,2,0,0,https://keepa.com/#!product/2-B074P5Y329,http://uk.camelcamelcamel.com/product/B074P5Y329,https://sellercentral.amazon.co.uk/productsearch?q=B074P5Y329
argos.co.uk,"Charcoal Portable Round BBQ",http://www.argos.co.uk/product/3451656,0640320901450,1,£21.99,,//media.4rgos.it/s/Argos/3451656_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70,"Charcoal Portable Round BBQ",B07CZ1SLNL,B07CZ1SLNL,,https://www.amazon.co.uk/dp/B07CZ1SLNL/,http://ecx.images-amazon.com/images/I/41zNWXr7bFL.jpg,"Barbecue Fireplaces",Charcoal,0640320901450,FBA,£44.10,£46.12,£48.41,£33.95,£32.75,£10.76,"49 %",1,0,hundredths-pounds,,0,0,0,0,2,0,0,https://keepa.com/#!product/2-B07CZ1SLNL,http://uk.camelcamelcamel.com/product/B07CZ1SLNL,https://sellercentral.amazon.co.uk/productsearch?q=B07CZ1SLNL
argos.co.uk,"Oval Steel Trolley Charcoal BBQ",http://www.argos.co.uk/product/3451254,4710955628773,1,£24.99,,//media.4rgos.it/s/Argos/3451254_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70,"Oval Steel Trolley Charcoal BBQ",B00KZOSOHW,B00KZOSOHW,,https://www.amazon.co.uk/dp/B00KZOSOHW/,http://ecx.images-amazon.com/images/I/31Jb5j8hIJL.jpg,"Home & Garden",Other,4710955628773,MF,£52.48,£48.39,£49.73,£40.83,£39.63,£14.64,"59 %",1,0,hundredths-pounds,,510517,561480,572118,0,1,1,2,https://keepa.com/#!product/2-B00KZOSOHW,http://uk.camelcamelcamel.com/product/B00KZOSOHW,https://sellercentral.amazon.co.uk/productsearch?q=B00KZOSOHW
argos.co.uk,"Kettle BBQ Starter Pack with Utensils and Cover",http://www.argos.co.uk/product/3451618,,1,£26.99,,//media.4rgos.it/s/Argos/3451618_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70,"BBQ 5 Piece Starter Pack.",B071DS6JTJ,B071DS6JTJ,,https://www.amazon.co.uk/dp/B071DS6JTJ/,http://ecx.images-amazon.com/images/I/51U3Sv-m8WL.jpg,"Home & Garden",Other,,FBA,£39.00,£39.00,£38.99,£29.77,£28.57,£1.58,"6 %",1,0,hundredths-pounds,,123833,123997,95555,2,1,1,3,https://keepa.com/#!product/2-B071DS6JTJ,http://uk.camelcamelcamel.com/product/B071DS6JTJ,https://sellercentral.amazon.co.uk/productsearch?q=B071DS6JTJ
argos.co.uk,"Kettle BBQ Starter Pack with Utensils and Cover",http://www.argos.co.uk/product/3451618,,1,£26.99,,//media.4rgos.it/s/Argos/3451618_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70,"Square BBQ and 5 Piece Starter Pack, Constructed from steel. Overall size H73, W44, D44cm. Diameter 44cm. Size of cooking area 41 x 41cm. Includes utensils",B00U2WUIY4,B00U2WUIY4,,https://www.amazon.co.uk/dp/B00U2WUIY4/,http://ecx.images-amazon.com/images/I/41aayApTaML.jpg,"Home & Garden","Square Bbq",,FBA,£54.38,£54.34,£54.31,£42.38,£41.18,£14.19,"53 %",1,0,hundredths-pounds,,514515,554449,573625,0,1,0,0,https://keepa.com/#!product/2-B00U2WUIY4,http://uk.camelcamelcamel.com/product/B00U2WUIY4,https://sellercentral.amazon.co.uk/productsearch?q=B00U2WUIY4
